method,pseudopotential,system,basis,IP,IPerr,SHCIIP
iFCIQMC,trail,V,vdz,0.2487689999999958,4.2054540777423784e-05,0.24926999999999566
iFCIQMC,trail,Sc,vdz,0.23990599999999773,2.4158849310345887e-06,0.24002000000000123
iFCIQMC,trail,Mn,vtz,0.2708499999999958,0.00015755345124750518,0.2715199999999953
iFCIQMC,trail,V,vtz,0.24851999999999919,7.510825520540335e-05,0.24943000000000382
iFCIQMC,trail,Sc,vtz,0.2402270000000044,5.6920382992386825e-05,0.2408099999999962
iFCIQMC,trail,Ti,vtz,0.24942500000000223,0.00011481467676216312,0.2503899999999959
iFCIQMC,trail,Cu,vtz,0.28144399999999337,0.00043410828142296474,0.2815999999999974
iFCIQMC,trail,Fe,vtz,0.28797199999999634,0.0001377425134081704,0.28863000000001193
iFCIQMC,trail,Cr,vtz,0.2482169999999968,9.062918955833159e-05,0.24793999999998562
iFCIQMC,trail,V,vqz,0.24742299999999773,1.7454409185074125e-05,0.24819000000000813
iFCIQMC,trail,Fe,vqz,0.2888309999999876,1.8827904822364065e-05,0.289660000000012
iFCIQMC,trail,Sc,vqz,0.24047500000000355,6.789005818232888e-06,0.24089000000000027
iFCIQMC,trail,Mn,vqz,0.2717489999999998,1.8018668097281775e-05,0.27228999999999814
iFCIQMC,trail,Cr,vqz,0.24933800000000872,2.3706539182259394e-05,0.2489399999999904
iFCIQMC,trail,Cu,vqz,0.2822370000000092,8.58633798542778e-05,0.28298999999998387
iFCIQMC,trail,Ti,vqz,0.2508940000000024,1.4682356759049278e-05,0.25043999999999755
HF+RPA,trail,Sc,vtz,0.2297749999999965,0.0,0.2408099999999962
HSE06mark,trail,Sc,vtz,0.23472899999999441,0.0,0.2408099999999962
HSE06+RPA,trail,Sc,vtz,0.24505800000000022,0.0,0.2408099999999962
QSGW,trail,Sc,vtz,0.2407049999999984,0.0,0.2408099999999962
HF+RPA,trail,Ti,vtz,0.2375239999999934,0.0,0.2503899999999959
HSE06mark,trail,Ti,vtz,0.24151700000000176,0.0,0.2503899999999959
HSE06+RPA,trail,Ti,vtz,0.25540799999999564,0.0,0.2503899999999959
QSGW,trail,Ti,vtz,0.24379499999999865,0.0,0.2503899999999959
HF+RPA,trail,V,vtz,0.24456899999999848,0.0,0.24943000000000382
HSE06mark,trail,V,vtz,0.24858799999999803,0.0,0.24943000000000382
HSE06+RPA,trail,V,vtz,0.25951099999998917,0.0,0.24943000000000382
QSGW,trail,V,vtz,0.25334399999998425,0.0,0.24943000000000382
HF+RPA,trail,Cr,vtz,0.25057600000000946,0.0,0.24793999999998562
HSE06mark,trail,Cr,vtz,0.2593859999999921,0.0,0.24793999999998562
HSE06+RPA,trail,Cr,vtz,0.26567599999999914,0.0,0.24793999999998562
QSGW,trail,Cr,vtz,0.25859599999999716,0.0,0.24793999999998562
HF+RPA,trail,Mn,vtz,0.25779399999998986,0.0,0.2715199999999953
HSE06mark,trail,Mn,vtz,0.2610169999999954,0.0,0.2715199999999953
HSE06+RPA,trail,Mn,vtz,0.27641599999999755,0.0,0.2715199999999953
QSGW,trail,Mn,vtz,0.2710689999999971,0.0,0.2715199999999953
HF+RPA,trail,Fe,vdz,,,
HF+RPA,trail,Fe,vtz,0.2747449999999958,0.0,0.28863000000001193
HSE06mark,trail,Fe,vdz,,,
HSE06mark,trail,Fe,vtz,0.28092800000000295,0.0,0.28863000000001193
HSE06+RPA,trail,Fe,vdz,,,
HSE06+RPA,trail,Fe,vtz,0.29341599999997925,0.0,0.28863000000001193
QSGW,trail,Fe,vdz,,,
QSGW,trail,Fe,vtz,0.28585200000000555,0.0,0.28863000000001193
HF+RPA,trail,Cu,vtz,0.27765200000001755,0.0,0.2815999999999974
HSE06mark,trail,Cu,vtz,0.2933070000000271,0.0,0.2815999999999974
HSE06+RPA,trail,Cu,vtz,0.29482800000002385,0.0,0.2815999999999974
PBE+RPA,trail,Sc,vtz,0.25005999999999773,0.0,0.2408099999999962
